lap_distance_m,speed_kph,throttle,brake
2010.0,275.51961660303795,1.0,0.0
2015.0,275.9257574526846,1.0,0.0
2020.0,276.33189830233124,1.0,0.0
2025.0,276.7380391519779,1.0,0.0
2030.0,277.1901785714286,1.0,0.0
2035.0,277.72589285714287,1.0,0.0
2040.0,278.26160714285714,1.0,0.0
2045.0,278.7973214285714,1.0,0.0
2050.0,279.3330357142857,1.0,0.0
2055.0,279.86875000000003,1.0,0.0
2060.0,280.48190464032683,1.0,0.0
2065.0,281.12018893215037,1.0,0.0
2070.0,281.75847322397397,1.0,0.0
2075.0,282.0,1.0,0.0
2080.0,282.0,1.0,0.0
2085.0,282.06074050599483,1.0,0.0
2090.0,282.58891881899325,1.0,0.0
2095.0,283.1170971319917,1.0,0.0
2100.0,283.6452754449902,1.0,0.0
2105.0,284.10370089680436,1.0,0.0
2110.0,284.4194770746495,1.0,0.0
2115.0,284.7352532524946,1.0,0.0
2120.0,285.03619423042466,1.0,0.0
2125.0,285.260168428597,1.0,0.0
2130.0,285.48414262676937,1.0,0.0
2135.0,285.7081168249418,1.0,0.0
2140.0,285.93209102311414,1.0,0.0
2145.0,286.2185148018063,1.0,0.0
2150.0,286.5321123933768,1.0,0.0
2155.0,286.8457099849473,1.0,0.0
2160.0,287.2627586206896,1.0,0.0
2165.0,287.78,1.0,0.0
2170.0,288.2972413793103,1.0,0.0
2175.0,288.81448275862067,1.0,0.0
2180.0,289.331724137931,1.0,0.0
2185.0,289.84896551724137,1.0,0.0
2190.0,290.0,1.0,0.0
2195.0,290.0,1.0,0.0
2200.0,290.0,1.0,0.0
2205.0,290.0,1.0,0.0
2210.0,290.64832793959005,1.0,0.0
2215.0,291.41886269070733,1.0,0.0
2220.0,291.8474334305754,0.9237167152877026,0.07628328471229742
2225.0,291.2267394947552,0.6133697473775767,0.38663025262242334
2230.0,290.6060455589349,0.3030227794674508,0.6969772205325492
2235.0,289.9430715625838,0.0,1.0
2240.0,287.5308496381667,0.0,1.0
2245.0,285.1186277137496,0.0,1.0
2250.0,282.70640578933256,0.0,1.0
2255.0,280.273905371126,0.03549795963384164,0.9193228190139963
2260.0,277.7923789566559,0.15681702878571097,0.6435976618506569
2265.0,275.31085254218584,0.2781360979375803,0.3678725046873176
2270.0,272.82932612771583,0.3994551670894496,0.09214734752397824
2275.0,271.19844938842334,0.5297736684965855,0.0
2280.0,269.9945584127901,0.6646094577675086,0.0
2285.0,268.79066743715686,0.7994452470384317,0.0
2290.0,267.58677646152364,0.9342810363093548,0.0
2295.0,267.1721405064141,1.0,0.0
2300.0,267.5079588958291,1.0,0.0
2305.0,267.84377728524413,1.0,0.0
2310.0,268.17892271662765,1.0,0.0
2315.0,268.5134827701572,1.0,0.0
